Date,Open,High,Low,Close,Volume
10-Mar-17,1998000.00,2021000.00,1993000.00,2009000.00,202235
9-Mar-17,2010000.00,2015000.00,2001000.00,2010000.00,228043
8-Mar-17,2010000.00,2031000.00,2007000.00,2010000.00,216680
7-Mar-17,1990000.00,2016000.00,1990000.00,2010000.00,210620
6-Mar-17,1961000.00,2011000.00,1961000.00,2004000.00,243717
3-Mar-17,1967000.00,1986000.00,1958000.00,1981000.00,253695
2-Mar-17,1921000.00,1993000.00,1921000.00,1986000.00,415658
28-Feb-17,1903000.00,1938000.00,1898000.00,1922000.00,299622
27-Feb-17,1901000.00,1907000.00,1885000.00,1903000.00,174814
24-Feb-17,1948000.00,1955000.00,1903000.00,1911000.00,175650
23-Feb-17,1951000.00,1972000.00,1951000.00,1959000.00,200399
22-Feb-17,1950000.00,1967000.00,1949000.00,1965000.00,170622
21-Feb-17,1927000.00,1978000.00,1921000.00,1947000.00,209320
20-Feb-17,1911000.00,1939000.00,1908000.00,1933000.00,149445
17-Feb-17,1878000.00,1902000.00,1864000.00,1893000.00,301506
16-Feb-17,1890000.00,1918000.00,1889000.00,1901000.00,204049
15-Feb-17,1854000.00,1898000.00,1854000.00,1886000.00,277510
14-Feb-17,1898000.00,1913000.00,1866000.00,1879000.00,260584
13-Feb-17,1887000.00,1903000.00,1886000.00,1898000.00,207670
10-Feb-17,1920000.00,1938000.00,1915000.00,1918000.00,213887
9-Feb-17,1939000.00,1942000.00,1911000.00,1920000.00,262976
8-Feb-17,1937000.00,1939000.00,1910000.00,1920000.00,257394
7-Feb-17,1978000.00,1979000.00,1938000.00,1941000.00,243302
6-Feb-17,1979000.00,1983000.00,1957000.00,1978000.00,176407
3-Feb-17,1970000.00,1975000.00,1959000.00,1973000.00,169092
2-Feb-17,1980000.00,1983000.00,1960000.00,1968000.00,237562
1-Feb-17,1977000.00,1983000.00,1952000.00,1956000.00,259847
31-Jan-17,1995000.00,1995000.00,1973000.00,1973000.00,283156
26-Jan-17,1971000.00,2000000.00,1971000.00,1995000.00,257769
25-Jan-17,1917000.00,1970000.00,1916000.00,1970000.00,262299
24-Jan-17,1906000.00,1929000.00,1894000.00,1908000.00,194483
23-Jan-17,1860000.00,1903000.00,1850000.00,1903000.00,169687
20-Jan-17,1856000.00,1871000.00,1844000.00,1860000.00,174927
19-Jan-17,1886000.00,1896000.00,1851000.00,1874000.00,179367
18-Jan-17,1852000.00,1875000.00,1831000.00,1847000.00,176628
17-Jan-17,1829000.00,1873000.00,1829000.00,1848000.00,160076
16-Jan-17,1843000.00,1891000.00,1816000.00,1833000.00,331541
13-Jan-17,1905000.00,1916000.00,1873000.00,1873000.00,306883
12-Jan-17,1900000.00,1940000.00,1899000.00,1940000.00,231733
11-Jan-17,1876000.00,1928000.00,1871000.00,1914000.00,236640
10-Jan-17,1864000.00,1870000.00,1854000.00,1862000.00,174117
9-Jan-17,1830000.00,1875000.00,1828000.00,1861000.00,256572
6-Jan-17,1809000.00,1822000.00,1802000.00,1810000.00,167595
5-Jan-17,1803000.00,1803000.00,1777000.00,1778000.00,209212
4-Jan-17,1825000.00,1826000.00,1805000.00,1808000.00,145894
3-Jan-17,1814000.00,1831000.00,1801000.00,1824000.00,146807
2-Jan-17,1799000.00,1812000.00,1794000.00,1805000.00,92936
29-Dec-16,1771000.00,1802000.00,1770000.00,1802000.00,139768
28-Dec-16,1792000.00,1799000.00,1780000.00,1788000.00,132355
27-Dec-16,1799000.00,1810000.00,1793000.00,1799000.00,91981
26-Dec-16,1780000.00,1800000.00,1778000.00,1798000.00,96051
23-Dec-16,1801000.00,1804000.00,1780000.00,1782000.00,162173
22-Dec-16,1813000.00,1815000.00,1799000.00,1809000.00,106595
21-Dec-16,1818000.00,1830000.00,1801000.00,1805000.00,130421
20-Dec-16,1796000.00,1820000.00,1792000.00,1812000.00,121685
19-Dec-16,1781000.00,1819000.00,1781000.00,1795000.00,107622
16-Dec-16,1765000.00,1801000.00,1760000.00,1793000.00,229653
15-Dec-16,1741000.00,1775000.00,1741000.00,1759000.00,115316
14-Dec-16,1778000.00,1784000.00,1764000.00,1777000.00,143528
13-Dec-16,1731000.00,1772000.00,1731000.00,1766000.00,216543
12-Dec-16,1733000.00,1768000.00,1733000.00,1752000.00,223356
9-Dec-16,1795000.00,1795000.00,1770000.00,1780000.00,189523
8-Dec-16,1799000.00,1801000.00,1776000.00,1790000.00,327891
7-Dec-16,1752000.00,1774000.00,1752000.00,1772000.00,190503
6-Dec-16,1722000.00,1760000.00,1720000.00,1748000.00,273811
5-Dec-16,1717000.00,1734000.00,1711000.00,1718000.00,169145
2-Dec-16,1724000.00,1738000.00,1707000.00,1727000.00,281135
1-Dec-16,1740000.00,1753000.00,1733000.00,1749000.00,261918
30-Nov-16,1677000.00,1747000.00,1677000.00,1746000.00,509252
29-Nov-16,1690000.00,1698000.00,1669000.00,1677000.00,353201
28-Nov-16,1650000.00,1681000.00,1640000.00,1677000.00,259549
25-Nov-16,1641000.00,1652000.00,1633000.00,1650000.00,125243
24-Nov-16,1649000.00,1652000.00,1633000.00,1650000.00,148504
23-Nov-16,1661000.00,1661000.00,1626000.00,1649000.00,244388
22-Nov-16,1607000.00,1645000.00,1600000.00,1640000.00,194455
21-Nov-16,1565000.00,1606000.00,1565000.00,1593000.00,163579
18-Nov-16,1582000.00,1588000.00,1570000.00,1586000.00,186627
17-Nov-16,1555000.00,1576000.00,1545000.00,1568000.00,157082
16-Nov-16,1540000.00,1564000.00,1540000.00,1558000.00,226022
15-Nov-16,1553000.00,1581000.00,1539000.00,1539000.00,271902
14-Nov-16,1595000.00,1596000.00,1552000.00,1553000.00,300672
11-Nov-16,1585000.00,1618000.00,1585000.00,1598000.00,254275
10-Nov-16,1630000.00,1650000.00,1618000.00,1649000.00,235746
9-Nov-16,1646000.00,1657000.00,1591000.00,1596000.00,312250
8-Nov-16,1649000.00,1649000.00,1635000.00,1644000.00,107169
7-Nov-16,1647000.00,1650000.00,1634000.00,1640000.00,152940
4-Nov-16,1605000.00,1634000.00,1605000.00,1627000.00,141963
3-Nov-16,1630000.00,1640000.00,1606000.00,1616000.00,206217
2-Nov-16,1640000.00,1652000.00,1631000.00,1643000.00,201810
1-Nov-16,1630000.00,1652000.00,1612000.00,1652000.00,202986
31-Oct-16,1616000.00,1639000.00,1611000.00,1639000.00,236650
28-Oct-16,1580000.00,1614000.00,1580000.00,1614000.00,196287
27-Oct-16,1571000.00,1617000.00,1556000.00,1573000.00,276477
26-Oct-16,1597000.00,1599000.00,1562000.00,1567000.00,194261
25-Oct-16,1600000.00,1604000.00,1592000.00,1597000.00,186146
24-Oct-16,1593000.00,1608000.00,1590000.00,1608000.00,174633
21-Oct-16,1606000.00,1613000.00,1588000.00,1589000.00,206051
20-Oct-16,1626000.00,1651000.00,1609000.00,1620000.00,204239
19-Oct-16,1579000.00,1643000.00,1575000.00,1625000.00,299594
18-Oct-16,1572000.00,1595000.00,1572000.00,1589000.00,203376
17-Oct-16,1565000.00,1602000.00,1538000.00,1590000.00,253167
14-Oct-16,1548000.00,1588000.00,1547000.00,1577000.00,282865
13-Oct-16,1550000.00,1581000.00,1545000.00,1557000.00,420652
12-Oct-16,1495000.00,1545000.00,1494000.00,1535000.00,750524
11-Oct-16,1600000.00,1625000.00,1545000.00,1545000.00,681419
10-Oct-16,1650000.00,1689000.00,1628000.00,1680000.00,501365
7-Oct-16,1700000.00,1716000.00,1690000.00,1706000.00,427198
6-Oct-16,1696000.00,1700000.00,1667000.00,1691000.00,553989
5-Oct-16,1601000.00,1626000.00,1597000.00,1619000.00,228739
4-Oct-16,1610000.00,1624000.00,1606000.00,1614000.00,204707
30-Sep-16,1590000.00,1615000.00,1585000.00,1598000.00,230501
29-Sep-16,1573000.00,1619000.00,1572000.00,1600000.00,227176
28-Sep-16,1554000.00,1573000.00,1554000.00,1567000.00,155882
27-Sep-16,1550000.00,1575000.00,1533000.00,1569000.00,196432
26-Sep-16,1571000.00,1596000.00,1564000.00,1568000.00,262913
23-Sep-16,1582000.00,1598000.00,1566000.00,1571000.00,333975
22-Sep-16,1600000.00,1641000.00,1599000.00,1618000.00,220066
21-Sep-16,1595000.00,1601000.00,1576000.00,1592000.00,199079
20-Sep-16,1559000.00,1588000.00,1559000.00,1585000.00,258141
19-Sep-16,1538000.00,1569000.00,1536000.00,1558000.00,426497
13-Sep-16,1508000.00,1549000.00,1495000.00,1527000.00,492464
12-Sep-16,1490000.00,1506000.00,1456000.00,1465000.00,523997
9-Sep-16,1611000.00,1618000.00,1564000.00,1575000.00,259988
8-Sep-16,1623000.00,1639000.00,1614000.00,1639000.00,236783
7-Sep-16,1648000.00,1652000.00,1621000.00,1621000.00,190676
6-Sep-16,1607000.00,1645000.00,1597000.00,1643000.00,153116
5-Sep-16,1590000.00,1615000.00,1585000.00,1606000.00,166892
2-Sep-16,1595000.00,1613000.00,1588000.00,1597000.00,161305
1-Sep-16,1583000.00,1588000.00,1563000.00,1587000.00,374540
31-Aug-16,1641000.00,1641000.00,1611000.00,1620000.00,408787
30-Aug-16,1647000.00,1671000.00,1633000.00,1645000.00,156818
29-Aug-16,1602000.00,1640000.00,1597000.00,1640000.00,176287
26-Aug-16,1606000.00,1623000.00,1603000.00,1612000.00,240315
25-Aug-16,1630000.00,1659000.00,1622000.00,1639000.00,282298
24-Aug-16,1680000.00,1682000.00,1636000.00,1653000.00,317292
23-Aug-16,1665000.00,1694000.00,1657000.00,1687000.00,218436
22-Aug-16,1674000.00,1692000.00,1659000.00,1665000.00,251660
19-Aug-16,1638000.00,1675000.00,1636000.00,1675000.00,305169
18-Aug-16,1567000.00,1644000.00,1566000.00,1640000.00,356783
17-Aug-16,1569000.00,1570000.00,1551000.00,1566000.00,136973
16-Aug-16,1545000.00,1576000.00,1545000.00,1568000.00,213905
12-Aug-16,1559000.00,1570000.00,1544000.00,1545000.00,205237
11-Aug-16,1541000.00,1559000.00,1526000.00,1559000.00,206875
10-Aug-16,1567000.00,1570000.00,1534000.00,1541000.00,241083
9-Aug-16,1574000.00,1579000.00,1557000.00,1567000.00,174736
8-Aug-16,1566000.00,1575000.00,1556000.00,1569000.00,206415
5-Aug-16,1529000.00,1564000.00,1525000.00,1561000.00,137787
4-Aug-16,1519000.00,1533000.00,1517000.00,1517000.00,139981
3-Aug-16,1548000.00,1548000.00,1517000.00,1517000.00,149927
2-Aug-16,1568000.00,1568000.00,1546000.00,1548000.00,166191
1-Aug-16,1569000.00,1580000.00,1560000.00,1568000.00,222125
29-Jul-16,1520000.00,1557000.00,1511000.00,1539000.00,298564
28-Jul-16,1533000.00,1536000.00,1498000.00,1507000.00,188934
27-Jul-16,1512000.00,1529000.00,1512000.00,1527000.00,126635
26-Jul-16,1500000.00,1531000.00,1498000.00,1530000.00,144285
25-Jul-16,1500000.00,1523000.00,1495000.00,1502000.00,151458
22-Jul-16,1506000.00,1528000.00,1506000.00,1516000.00,164934
21-Jul-16,1540000.00,1547000.00,1537000.00,1543000.00,158995
20-Jul-16,1533000.00,1542000.00,1524000.00,1540000.00,154984
19-Jul-16,1528000.00,1540000.00,1522000.00,1533000.00,202089
18-Jul-16,1518000.00,1533000.00,1500000.00,1533000.00,218383
15-Jul-16,1500000.00,1522000.00,1486000.00,1518000.00,231690
14-Jul-16,1481000.00,1500000.00,1476000.00,1500000.00,247548
13-Jul-16,1496000.00,1496000.00,1463000.00,1481000.00,197935
12-Jul-16,1499000.00,1505000.00,1460000.00,1464000.00,219428
11-Jul-16,1460000.00,1500000.00,1460000.00,1489000.00,268606
8-Jul-16,1450000.00,1475000.00,1449000.00,1460000.00,246773
7-Jul-16,1421000.00,1450000.00,1416000.00,1450000.00,226202
6-Jul-16,1447000.00,1452000.00,1412000.00,1421000.00,320468
5-Jul-16,1466000.00,1475000.00,1462000.00,1469000.00,155389
4-Jul-16,1464000.00,1474000.00,1451000.00,1466000.00,156639
1-Jul-16,1427000.00,1479000.00,1427000.00,1466000.00,286582
30-Jun-16,1408000.00,1445000.00,1397000.00,1425000.00,272883
29-Jun-16,1408000.00,1412000.00,1391000.00,1396000.00,208090
28-Jun-16,1390000.00,1404000.00,1379000.00,1399000.00,213829
27-Jun-16,1400000.00,1405000.00,1385000.00,1398000.00,236573
24-Jun-16,1445000.00,1445000.00,1360000.00,1400000.00,408920
23-Jun-16,1444000.00,1445000.00,1427000.00,1430000.00,224121
22-Jun-16,1446000.00,1450000.00,1431000.00,1445000.00,177102
21-Jun-16,1432000.00,1449000.00,1426000.00,1448000.00,193560
20-Jun-16,1427000.00,1448000.00,1426000.00,1431000.00,268408
17-Jun-16,1410000.00,1435000.00,1410000.00,1426000.00,328256
16-Jun-16,1413000.00,1417000.00,1395000.00,1409000.00,288743
15-Jun-16,1385000.00,1416000.00,1383000.00,1413000.00,301979
14-Jun-16,1371000.00,1386000.00,1369000.00,1380000.00,243251
13-Jun-16,1396000.00,1396000.00,1362000.00,1371000.00,290039
10-Jun-16,1424000.00,1425000.00,1404000.00,1406000.00,289005
9-Jun-16,1408000.00,1430000.00,1406000.00,1430000.00,512553
8-Jun-16,1419000.00,1419000.00,1389000.00,1406000.00,346942
7-Jun-16,1386000.00,1402000.00,1380000.00,1398000.00,459213
3-Jun-16,1370000.00,1379000.00,1364000.00,1377000.00,310428
2-Jun-16,1350000.00,1372000.00,1346000.00,1365000.00,472853
1-Jun-16,1298000.00,1341000.00,1295000.00,1333000.00,464371
31-May-16,1280000.00,1300000.00,1268000.00,1292000.00,1198180
30-May-16,1297000.00,1297000.00,1274000.00,1280000.00,204641
27-May-16,1300000.00,1301000.00,1273000.00,1282000.00,261902
26-May-16,1299000.00,1303000.00,1295000.00,1296000.00,231666
25-May-16,1283000.00,1298000.00,1274000.00,1295000.00,236950
24-May-16,1286000.00,1289000.00,1268000.00,1271000.00,191292
23-May-16,1269000.00,1286000.00,1269000.00,1286000.00,160641
20-May-16,1270000.00,1280000.00,1269000.00,1269000.00,159126
19-May-16,1268000.00,1277000.00,1266000.00,1270000.00,184093
18-May-16,1264000.00,1271000.00,1255000.00,1268000.00,173857
17-May-16,1249000.00,1265000.00,1249000.00,1264000.00,181240
16-May-16,1253000.00,1263000.00,1247000.00,1248000.00,232580
13-May-16,1281000.00,1281000.00,1251000.00,1253000.00,244629
12-May-16,1292000.00,1292000.00,1275000.00,1281000.00,151283
11-May-16,1296000.00,1299000.00,1287000.00,1292000.00,173956
10-May-16,1299000.00,1300000.00,1288000.00,1296000.00,167075
9-May-16,1290000.00,1300000.00,1285000.00,1299000.00,273071
4-May-16,1272000.00,1290000.00,1262000.00,1290000.00,277351
3-May-16,1267000.00,1270000.00,1256000.00,1261000.00,157791
2-May-16,1247000.00,1262000.00,1245000.00,1250000.00,140121
29-Apr-16,1260000.00,1267000.00,1242000.00,1245000.00,292558
28-Apr-16,1300000.00,1300000.00,1261000.00,1265000.00,278697
27-Apr-16,1294000.00,1300000.00,1286000.00,1300000.00,164705
26-Apr-16,1285000.00,1305000.00,1283000.00,1296000.00,158517
25-Apr-16,1285000.00,1285000.00,1271000.00,1281000.00,91779
22-Apr-16,1294000.00,1294000.00,1277000.00,1280000.00,114363
21-Apr-16,1300000.00,1301000.00,1288000.00,1294000.00,144720
20-Apr-16,1282000.00,1300000.00,1282000.00,1299000.00,146370
19-Apr-16,1294000.00,1296000.00,1283000.00,1288000.00,144223
18-Apr-16,1295000.00,1305000.00,1292000.00,1299000.00,128393
15-Apr-16,1309000.00,1310000.00,1290000.00,1300000.00,136509
14-Apr-16,1300000.00,1302000.00,1289000.00,1300000.00,331967
12-Apr-16,1270000.00,1281000.00,1266000.00,1275000.00,133984
11-Apr-16,1246000.00,1271000.00,1246000.00,1266000.00,119708
8-Apr-16,1269000.00,1269000.00,1240000.00,1246000.00,251392
7-Apr-16,1300000.00,1300000.00,1258000.00,1269000.00,258607
6-Apr-16,1269000.00,1291000.00,1268000.00,1285000.00,182794
5-Apr-16,1299000.00,1299000.00,1260000.00,1260000.00,235930
4-Apr-16,1279000.00,1305000.00,1279000.00,1305000.00,181840
1-Apr-16,1299000.00,1309000.00,1271000.00,1279000.00,263464
31-Mar-16,1306000.00,1314000.00,1298000.00,1312000.00,298873
30-Mar-16,1310000.00,1321000.00,1302000.00,1308000.00,266898
29-Mar-16,1294000.00,1300000.00,1285000.00,1290000.00,172134
28-Mar-16,1288000.00,1300000.00,1288000.00,1294000.00,120620
25-Mar-16,1283000.00,1290000.00,1278000.00,1288000.00,142531
24-Mar-16,1279000.00,1290000.00,1266000.00,1282000.00,217847
23-Mar-16,1269000.00,1279000.00,1262000.00,1279000.00,173910
22-Mar-16,1267000.00,1279000.00,1262000.00,1269000.00,194670
21-Mar-16,1274000.00,1279000.00,1258000.00,1267000.00,181112
18-Mar-16,1278000.00,1278000.00,1263000.00,1273000.00,223079
17-Mar-16,1265000.00,1296000.00,1257000.00,1263000.00,246423
16-Mar-16,1256000.00,1263000.00,1253000.00,1256000.00,137200
15-Mar-16,1255000.00,1264000.00,1246000.00,1253000.00,167592
14-Mar-16,1267000.00,1273000.00,1249000.00,1255000.00,216712
